method,path,auth_required,allow_usc,allowed_exe_paths,handler,source_file,source_line,source_url
GET,/api/init/is_inited,false,true,[],InitApi.__is_inited_handler,kvmd/apps/kvmd/api/init.py,62,https://github.com/gl-inet/glkvm/blob/9bd8ad11ba03d220401b0b6a4208bbfd84ed6107/kvmd/apps/kvmd/api/init.py#L62
GET,/api/log,true,true,[],LogApi.__log_handler,kvmd/apps/kvmd/api/log.py,49,https://github.com/gl-inet/glkvm/blob/9bd8ad11ba03d220401b0b6a4208bbfd84ed6107/kvmd/apps/kvmd/api/log.py#L49
POST,/api/modem/at,true,true,[],ModemApi.__at_command_handler,kvmd/apps/kvmd/api/modem.py,104,https://github.com/gl-inet/glkvm/blob/9bd8ad11ba03d220401b0b6a4208bbfd84ed6107/kvmd/apps/kvmd/api/modem.py#L104
POST,/api/modem/enable,true,true,[],ModemApi.__enable_handler,kvmd/apps/kvmd/api/modem.py,73,https://github.com/gl-inet/glkvm/blob/9bd8ad11ba03d220401b0b6a4208bbfd84ed6107/kvmd/apps/kvmd/api/modem.py#L73
GET,/api/modem/get_status,true,true,[],ModemApi.__get_state_handler,kvmd/apps/kvmd/api/modem.py,63,https://github.com/gl-inet/glkvm/blob/9bd8ad11ba03d220401b0b6a4208bbfd84ed6107/kvmd/apps/kvmd/api/modem.py#L63
POST,/api/modem/input_pin_code,true,true,[],ModemApi.__input_pin_code_handler,kvmd/apps/kvmd/api/modem.py,88,https://github.com/gl-inet/glkvm/blob/9bd8ad11ba03d220401b0b6a4208bbfd84ed6107/kvmd/apps/kvmd/api/modem.py#L88
GET,/api/modem/sim_setting,true,true,[],ModemApi.__sim_setting_handler,kvmd/apps/kvmd/api/modem.py,127,https://github.com/gl-inet/glkvm/blob/9bd8ad11ba03d220401b0b6a4208bbfd84ed6107/kvmd/apps/kvmd/api/modem.py#L127
POST,/api/modem/sim_setting,true,true,[],ModemApi.__set_sim_setting_handler,kvmd/apps/kvmd/api/modem.py,137,https://github.com/gl-inet/glkvm/blob/9bd8ad11ba03d220401b0b6a4208bbfd84ed6107/kvmd/apps/kvmd/api/modem.py#L137
GET,/api/msd,true,true,[],MsdApi.__state_handler,kvmd/apps/kvmd/api/msd.py,72,https://github.com/gl-inet/glkvm/blob/9bd8ad11ba03d220401b0b6a4208bbfd84ed6107/kvmd/apps/kvmd/api/msd.py#L72
GET,/api/msd/partition_connect,true,true,[],MsdApi.__connect_partition_handler,kvmd/apps/kvmd/api/msd.py,118,https://github.com/gl-inet/glkvm/blob/9bd8ad11ba03d220401b0b6a4208bbfd84ed6107/kvmd/apps/kvmd/api/msd.py#L118
GET,/api/msd/partition_disconnect,true,true,[],MsdApi.__disconnect_partition_handler,kvmd/apps/kvmd/api/msd.py,133,https://github.com/gl-inet/glkvm/blob/9bd8ad11ba03d220401b0b6a4208bbfd84ed6107/kvmd/apps/kvmd/api/msd.py#L133
GET,/api/msd/partition_format,true,true,[],MsdApi.__format_partition_handler,kvmd/apps/kvmd/api/msd.py,148,https://github.com/gl-inet/glkvm/blob/9bd8ad11ba03d220401b0b6a4208bbfd84ed6107/kvmd/apps/kvmd/api/msd.py#L148
GET,/api/msd/partition_show,true,true,[],MsdApi.__show_partition_handler,kvmd/apps/kvmd/api/msd.py,101,https://github.com/gl-inet/glkvm/blob/9bd8ad11ba03d220401b0b6a4208bbfd84ed6107/kvmd/apps/kvmd/api/msd.py#L101
GET,/api/msd/read,true,true,[],MsdApi.__read_handler,kvmd/apps/kvmd/api/msd.py,160,https://github.com/gl-inet/glkvm/blob/9bd8ad11ba03d220401b0b6a4208bbfd84ed6107/kvmd/apps/kvmd/api/msd.py#L160
POST,/api/msd/remove,true,true,[],MsdApi.__remove_handler,kvmd/apps/kvmd/api/msd.py,316,https://github.com/gl-inet/glkvm/blob/9bd8ad11ba03d220401b0b6a4208bbfd84ed6107/kvmd/apps/kvmd/api/msd.py#L316
POST,/api/msd/reset,true,true,[],MsdApi.__reset_handler,kvmd/apps/kvmd/api/msd.py,321,https://github.com/gl-inet/glkvm/blob/9bd8ad11ba03d220401b0b6a4208bbfd84ed6107/kvmd/apps/kvmd/api/msd.py#L321
POST,/api/msd/set_connected,true,true,[],MsdApi.__set_connected_handler,kvmd/apps/kvmd/api/msd.py,90,https://github.com/gl-inet/glkvm/blob/9bd8ad11ba03d220401b0b6a4208bbfd84ed6107/kvmd/apps/kvmd/api/msd.py#L90
POST,/api/msd/set_enabled,true,true,[],MsdApi.__set_enabled_handler,kvmd/apps/kvmd/api/msd.py,95,https://github.com/gl-inet/glkvm/blob/9bd8ad11ba03d220401b0b6a4208bbfd84ed6107/kvmd/apps/kvmd/api/msd.py#L95
POST,/api/msd/set_params,true,true,[],MsdApi.__set_params_handler,kvmd/apps/kvmd/api/msd.py,76,https://github.com/gl-inet/glkvm/blob/9bd8ad11ba03d220401b0b6a4208bbfd84ed6107/kvmd/apps/kvmd/api/msd.py#L76
POST,/api/msd/write,true,true,[],MsdApi.__write_handler,kvmd/apps/kvmd/api/msd.py,208,https://github.com/gl-inet/glkvm/blob/9bd8ad11ba03d220401b0b6a4208bbfd84ed6107/kvmd/apps/kvmd/api/msd.py#L208
POST,/api/msd/write_remote,true,true,[],MsdApi.__write_remote_handler,kvmd/apps/kvmd/api/msd.py,237,https://github.com/gl-inet/glkvm/blob/9bd8ad11ba03d220401b0b6a4208bbfd84ed6107/kvmd/apps/kvmd/api/msd.py#L237
GET,/api/netbird/config,true,true,[],NetbirdApi._netbird_get_config,kvmd/apps/kvmd/api/netbird.py,335,https://github.com/gl-inet/glkvm/blob/9bd8ad11ba03d220401b0b6a4208bbfd84ed6107/kvmd/apps/kvmd/api/netbird.py#L335
POST,/api/netbird/config,true,true,[],NetbirdApi._netbird_set_config,kvmd/apps/kvmd/api/netbird.py,347,https://github.com/gl-inet/glkvm/blob/9bd8ad11ba03d220401b0b6a4208bbfd84ed6107/kvmd/apps/kvmd/api/netbird.py#L347
GET,/api/netbird/get_info,true,true,[],NetbirdApi._netbird_get_info,kvmd/apps/kvmd/api/netbird.py,391,https://github.com/gl-inet/glkvm/blob/9bd8ad11ba03d220401b0b6a4208bbfd84ed6107/kvmd/apps/kvmd/api/netbird.py#L391
POST,/api/netbird/login,true,true,[],NetbirdApi._netbird_login,kvmd/apps/kvmd/api/netbird.py,275,https://github.com/gl-inet/glkvm/blob/9bd8ad11ba03d220401b0b6a4208bbfd84ed6107/kvmd/apps/kvmd/api/netbird.py#L275
POST,/api/netbird/logout,true,true,[],NetbirdApi._netbird_logout,kvmd/apps/kvmd/api/netbird.py,321,https://github.com/gl-inet/glkvm/blob/9bd8ad11ba03d220401b0b6a4208bbfd84ed6107/kvmd/apps/kvmd/api/netbird.py#L321
POST,/api/netbird/start,true,true,[],NetbirdApi._netbird_start,kvmd/apps/kvmd/api/netbird.py,224,https://github.com/gl-inet/glkvm/blob/9bd8ad11ba03d220401b0b6a4208bbfd84ed6107/kvmd/apps/kvmd/api/netbird.py#L224
POST,/api/netbird/stop,true,true,[],NetbirdApi._netbird_stop,kvmd/apps/kvmd/api/netbird.py,251,https://github.com/gl-inet/glkvm/blob/9bd8ad11ba03d220401b0b6a4208bbfd84ed6107/kvmd/apps/kvmd/api/netbird.py#L251
GET,/api/recorder,true,true,[],RecorderApi.__state_handler,kvmd/apps/kvmd/api/recorder.py,169,https://github.com/gl-inet/glkvm/blob/9bd8ad11ba03d220401b0b6a4208bbfd84ed6107/kvmd/apps/kvmd/api/recorder.py#L169
POST,/api/recorder/start,true,true,[],RecorderApi.__start_handler,kvmd/apps/kvmd/api/recorder.py,173,https://github.com/gl-inet/glkvm/blob/9bd8ad11ba03d220401b0b6a4208bbfd84ed6107/kvmd/apps/kvmd/api/recorder.py#L173
POST,/api/recorder/stop,true,true,[],RecorderApi.__stop_handler,kvmd/apps/kvmd/api/recorder.py,180,https://github.com/gl-inet/glkvm/blob/9bd8ad11ba03d220401b0b6a4208bbfd84ed6107/kvmd/apps/kvmd/api/recorder.py#L180
POST,/api/repeater/add_preset_ap,true,true,[],RepeaterApi.__add_preset_ap_handler,kvmd/apps/kvmd/api/repeater.py,164,https://github.com/gl-inet/glkvm/blob/9bd8ad11ba03d220401b0b6a4208bbfd84ed6107/kvmd/apps/kvmd/api/repeater.py#L164
POST,/api/repeater/connect,true,true,[],RepeaterApi.__connect_wifi_handler,kvmd/apps/kvmd/api/repeater.py,85,https://github.com/gl-inet/glkvm/blob/9bd8ad11ba03d220401b0b6a4208bbfd84ed6107/kvmd/apps/kvmd/api/repeater.py#L85
POST,/api/repeater/del_preset_ap,true,true,[],RepeaterApi.__del_preset_ap_handler,kvmd/apps/kvmd/api/repeater.py,193,https://github.com/gl-inet/glkvm/blob/9bd8ad11ba03d220401b0b6a4208bbfd84ed6107/kvmd/apps/kvmd/api/repeater.py#L193
POST,/api/repeater/disconnect,true,true,[],RepeaterApi.__disconnect_handler,kvmd/apps/kvmd/api/repeater.py,110,https://github.com/gl-inet/glkvm/blob/9bd8ad11ba03d220401b0b6a4208bbfd84ed6107/kvmd/apps/kvmd/api/repeater.py#L110
POST,/api/repeater/enable,true,true,[],RepeaterApi.__enable_handler,kvmd/apps/kvmd/api/repeater.py,123,https://github.com/gl-inet/glkvm/blob/9bd8ad11ba03d220401b0b6a4208bbfd84ed6107/kvmd/apps/kvmd/api/repeater.py#L123
GET,/api/repeater/get_preset_ap_list,true,true,[],RepeaterApi.__get_preset_ap_list_handler,kvmd/apps/kvmd/api/repeater.py,214,https://github.com/gl-inet/glkvm/blob/9bd8ad11ba03d220401b0b6a4208bbfd84ed6107/kvmd/apps/kvmd/api/repeater.py#L214
GET,/api/repeater/get_saved_ap_list,true,true,[],RepeaterApi.__get_saved_ap_list_handler,kvmd/apps/kvmd/api/repeater.py,65,https://github.com/gl-inet/glkvm/blob/9bd8ad11ba03d220401b0b6a4208bbfd84ed6107/kvmd/apps/kvmd/api/repeater.py#L65
GET,/api/repeater/get_status,true,true,[],RepeaterApi.__get_ap_status_handler,kvmd/apps/kvmd/api/repeater.py,224,https://github.com/gl-inet/glkvm/blob/9bd8ad11ba03d220401b0b6a4208bbfd84ed6107/kvmd/apps/kvmd/api/repeater.py#L224
POST,/api/repeater/remove_saved_ap,true,true,[],RepeaterApi.__forget_wifi_handler,kvmd/apps/kvmd/api/repeater.py,140,https://github.com/gl-inet/glkvm/blob/9bd8ad11ba03d220401b0b6a4208bbfd84ed6107/kvmd/apps/kvmd/api/repeater.py#L140
GET,/api/repeater/scan,true,true,[],RepeaterApi.__get_ap_list_handler,kvmd/apps/kvmd/api/repeater.py,75,https://github.com/gl-inet/glkvm/blob/9bd8ad11ba03d220401b0b6a4208bbfd84ed6107/kvmd/apps/kvmd/api/repeater.py#L75
POST,/api/rndis/start,true,true,[],RndisApi.__start_handler,kvmd/apps/kvmd/api/rndis.py,27,https://github.com/gl-inet/glkvm/blob/9bd8ad11ba03d220401b0b6a4208bbfd84ed6107/kvmd/apps/kvmd/api/rndis.py#L27
GET,/api/rndis/status,true,true,[],RndisApi.__status_handler,kvmd/apps/kvmd/api/rndis.py,63,https://github.com/gl-inet/glkvm/blob/9bd8ad11ba03d220401b0b6a4208bbfd84ed6107/kvmd/apps/kvmd/api/rndis.py#L63
POST,/api/rndis/stop,true,true,[],RndisApi.__stop_handler,kvmd/apps/kvmd/api/rndis.py,45,https://github.com/gl-inet/glkvm/blob/9bd8ad11ba03d220401b0b6a4208bbfd84ed6107/kvmd/apps/kvmd/api/rndis.py#L45
GET,/api/same_check,false,false,[],AuthApi.__same_check_handler,kvmd/apps/kvmd/api/auth.py,378,https://github.com/gl-inet/glkvm/blob/9bd8ad11ba03d220401b0b6a4208bbfd84ed6107/kvmd/apps/kvmd/api/auth.py#L378
GET,/api/streamer,true,true,[],StreamerApi.__state_handler,kvmd/apps/kvmd/api/streamer.py,50,https://github.com/gl-inet/glkvm/blob/9bd8ad11ba03d220401b0b6a4208bbfd84ed6107/kvmd/apps/kvmd/api/streamer.py#L50
GET,/api/streamer/ocr,true,true,[],StreamerApi.__ocr_handler,kvmd/apps/kvmd/api/streamer.py,100,https://github.com/gl-inet/glkvm/blob/9bd8ad11ba03d220401b0b6a4208bbfd84ed6107/kvmd/apps/kvmd/api/streamer.py#L100
POST,/api/streamer/reset,true,true,[],KvmdServer.__streamer_reset_handler,kvmd/apps/kvmd/server.py,515,https://github.com/gl-inet/glkvm/blob/9bd8ad11ba03d220401b0b6a4208bbfd84ed6107/kvmd/apps/kvmd/server.py#L515
POST,/api/streamer/set_params,true,true,[],KvmdServer.__streamer_set_params_handler,kvmd/apps/kvmd/server.py,487,https://github.com/gl-inet/glkvm/blob/9bd8ad11ba03d220401b0b6a4208bbfd84ed6107/kvmd/apps/kvmd/server.py#L487
DELETE,/api/streamer/snapshot,true,true,[],StreamerApi.__remove_snapshot_handler,kvmd/apps/kvmd/api/streamer.py,95,https://github.com/gl-inet/glkvm/blob/9bd8ad11ba03d220401b0b6a4208bbfd84ed6107/kvmd/apps/kvmd/api/streamer.py#L95
GET,/api/streamer/snapshot,true,true,[],StreamerApi.__take_snapshot_handler,kvmd/apps/kvmd/api/streamer.py,54,https://github.com/gl-inet/glkvm/blob/9bd8ad11ba03d220401b0b6a4208bbfd84ed6107/kvmd/apps/kvmd/api/streamer.py#L54
GET,/api/switch,true,true,[],SwitchApi.__state_handler,kvmd/apps/kvmd/api/switch.py,52,https://github.com/gl-inet/glkvm/blob/9bd8ad11ba03d220401b0b6a4208bbfd84ed6107/kvmd/apps/kvmd/api/switch.py#L52
POST,/api/switch/atx/click,true,true,[],SwitchApi.__click_handler,kvmd/apps/kvmd/api/switch.py,167,https://github.com/gl-inet/glkvm/blob/9bd8ad11ba03d220401b0b6a4208bbfd84ed6107/kvmd/apps/kvmd/api/switch.py#L167
POST,/api/switch/atx/power,true,true,[],SwitchApi.__power_handler,kvmd/apps/kvmd/api/switch.py,155,https://github.com/gl-inet/glkvm/blob/9bd8ad11ba03d220401b0b6a4208bbfd84ed6107/kvmd/apps/kvmd/api/switch.py#L155
POST,/api/switch/edids/change,true,true,[],SwitchApi.__change_edid,kvmd/apps/kvmd/api/switch.py,132,https://github.com/gl-inet/glkvm/blob/9bd8ad11ba03d220401b0b6a4208bbfd84ed6107/kvmd/apps/kvmd/api/switch.py#L132
POST,/api/switch/edids/create,true,true,[],SwitchApi.__create_edid,kvmd/apps/kvmd/api/switch.py,125,https://github.com/gl-inet/glkvm/blob/9bd8ad11ba03d220401b0b6a4208bbfd84ed6107/kvmd/apps/kvmd/api/switch.py#L125
POST,/api/switch/edids/remove,true,true,[],SwitchApi.__remove_edid,kvmd/apps/kvmd/api/switch.py,147,https://github.com/gl-inet/glkvm/blob/9bd8ad11ba03d220401b0b6a4208bbfd84ed6107/kvmd/apps/kvmd/api/switch.py#L147
POST,/api/switch/reset,true,true,[],SwitchApi.__reset,kvmd/apps/kvmd/api/switch.py,116,https://github.com/gl-inet/glkvm/blob/9bd8ad11ba03d220401b0b6a4208bbfd84ed6107/kvmd/apps/kvmd/api/switch.py#L116
POST,/api/switch/set_active,true,true,[],SwitchApi.__set_active_port_handler,kvmd/apps/kvmd/api/switch.py,66,https://github.com/gl-inet/glkvm/blob/9bd8ad11ba03d220401b0b6a4208bbfd84ed6107/kvmd/apps/kvmd/api/switch.py#L66
POST,/api/switch/set_active_next,true,true,[],SwitchApi.__set_active_next_handler,kvmd/apps/kvmd/api/switch.py,61,https://github.com/gl-inet/glkvm/blob/9bd8ad11ba03d220401b0b6a4208bbfd84ed6107/kvmd/apps/kvmd/api/switch.py#L61
